Registration Group,Support Item Number,Support Item,Support Item Description,Unit of Measure,Quote,Price Limit,Price Control,Support Categories,Support Category Number
Home Modification Design And Construction,06_407_0111_2_2,Consultation About Home Modification Designs With Builder,"Drawings or plans which allow agreement to be confirmed, e.g. modifications and for quotes to be obtained.",EA,N,,N,Home modifications,06
Home Modification Design And Construction,06_408_0111_2_2,Project Management Of Home Modifications,"Project manager or certifier independent of a builder, who can provide advice on compliance of the plans with work undertaken and can co-ordinate quotes and payments.",EA,Y,,N,Home modifications,06
Specialised Disability Accommodation,06_431_0131_2_2,Specialist Disability Accommodation (SDA),"SDA is an adjusted contribution to the cost of the physical building, including the land it is on. The quote will reflect unique dwelling price based on the SDA enrolment process.",EA,Y,,N,Home modifications,06
Specialised Disability Accommodation,06_432_0131_2_2,SDA Vacancy - Person-Specific Adjustment,"A temporary payment for providers, available in limited circumstances when a participant moves out of an SDA dwelling accommodates 4 or more residents.",EA,Y,,N,Home modifications,06
"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",07_001_0106_8_3,Support Connection,"Assistance for participants to implement their plan by strengthening the ability to connect with the broader systems of supports and understand the purpose of the funded supports and participant in the community. Support Connection will assist a participant to understand the aspects of the plan, assisting in ongoing management of supports, and answer questions as they arise.",H,N,58.92,Y,Coordination of Supports,07
"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",07_002_0106_8_3,Coordination Of Supports,"Further qualifications/experience required to strengthen a participant’s ability to design and the build their supports with an emphasis on linking the broader systems of support across a complex service delivery environment. Coordination of Supports is to focus on supporting participants to direct their lives, not just their services. This may include resolving points of crisis, and developing resilience in the participant's network.",H,N,96.04,Y,Coordination of Supports,07
Development Of Daily Living And Life Skills,07_003_0117_8_3,Training In Planning And Plan Management,Capacity building and training in plan administration and management for participants unable to do this independently but who could do all or part of the task with training.,H,N,57.32,Y,Coordination of Supports,07
Support Coordination,07_004_0132_8_3,Specialist Support Coordination,"Generally delivered in a time limited, outcomes focused manner and by an appropriately qualified and experienced practitioner to meet the individual needs of the participant’s circumstances. Necessitated by specific high complex needs or high level risks in a participant’s situation, to reduce complexity in the participant’s support environment in the context of broader systems of support, whilst also assisting the participant to connect with NDIS supports, negotiate solutions with multiple stakeholders and build capacity and resilience. ",H,N,182.74,Y,Coordination of Supports,07
"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",08_005_0106_2_3,Assistance With Accommodation And Tenancy Obligations,"Support is provided to guide, prompt or undertake activities to ensure the participant obtains and/or retains appropriate accommodation. May include assisting to apply for a rental tenancy or to undertake tenancy obligations.",H,N,58.92,Y,Improved living arrangements,08
"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",09_006_0106_6_3,"Life Transition Planning Incl. Mentoring, Peer-Support And Indiv Skill Develop","Establishing volunteer assistance within the participant’s home or community to develop skills. For instance, assistance in attending appointments, shopping, bill paying, taking part in social activities and maintaining contact with others.",H,N,58.92,Y,Increased social and community participation,09
Development Of Daily Living And Life Skills,09_007_0117_6_3,Skills Development In A Group,Training for the participant in a group of 2 or more to increase their independence in daily personal activities.,H,N,28.66,Y,Increased social and community participation,09
Innovative Community Participation,09_008_0116_6_3,Innovative Community Participation,Mainstream services that promote inclusion of people with disability to expand opportunities for community participation and employment.,EA,N,,N,Increased social and community participation,09
Development Of Daily Living And Life Skills,09_009_0117_6_3,Individual Skills Development And Training,"Individual life skills development and training including public transport training and support, developing skills for community, social and recreational participation. ",H,N,57.32,Y,Increased social and community participation,09
"Participation In Community, Social And Civic Activities",09_010_0125_6_3,Community Participation Activities,Participation in community based activities that build skills and independence.,YR,N,,N,Increased social and community participation,09
Therapeutic Supports,10_011_0128_5_3,Employment Related Assessment And Counselling,Workplace assessment conducted by a workplace rehabilitation provider to determine adjustments or modifications to the workplace or work processes to ensure employment is maintained and matches the employee’s capabilities.,H,N,182.74,Y,Finding and keeping a job,10
Specialised Supported Employment,10_012_0133_5_3,Assistance In Specialised Supported Employment Level 1 DMI,Assistance in specialised supported employment Level 1 DMI,WK,N,,N,Finding and keeping a job,10
Specialised Supported Employment,10_013_0133_5_3,Assistance In Specialised Supported Employment Level 2 DMI,Assistance in specialised supported employment Level 2 DMI,WK,N,,N,Finding and keeping a job,10
Specialised Supported Employment,10_014_0133_5_3,Assistance In Specialised Supported Employment Level 3 DMI,Assistance in specialised supported employment Level 3 DMI,WK,N,,N,Finding and keeping a job,10
Specialised Supported Employment,10_015_0133_5_3,Assistance In Specialised Supported Employment Level 4 DMI,Assistance in specialised supported employment Level 4 DMI,WK,N,,N,Finding and keeping a job,10
Assist To Access/Maintain Employ/Ed (Assist Access/Maintain Employ),10_016_0102_5_3,Individual Employment Support,"Time limited, on-the-job training including post placement support related to the participant’s disability that enables them to adjust and manage demands of the job in the workplace environment, and to assist employers to successfully manage the participant's placement.",H,N,57.82,Y,Finding and keeping a job,10
Assist To Access/Maintain Employ/Ed (Assist Access/Maintain Employ),10_017_0102_5_3,Employment Preparation And Support In A Group - Group Of 3,"In a group setting, building capacity by providing skills training such as transport, time/financial management and self-care to support a participant to get a job post school. This assumes a group of 3.",H,N,19.28,Y,Finding and keeping a job,10
Specialised Supported Employment,10_018_0133_5_3,Supported Employment Start-Up Fee (ADE),"Supported employment administrative start-up fee, paid only once when a participant starts with an ADE.",EA,N,,N,Finding and keeping a job,10
Specialised Supported Employment,10_020_0133_5_3,Support In Employment (ADE),Support in employment (ADE),EA,N,,N,Finding and keeping a job,10
Assist To Access/Maintain Employ/Ed (Assist Access/Maintain Employ),10_021_0102_5_3,School Leaver Employment Supports,School leaver employment supports,EA,N,,N,Finding and keeping a job,10
Behaviour Support,11_022_0110_7_3,Specialist Behavioural Intervention Support,"Highly specialised intensive support interventions to address significantly harmful or persistent behaviours of concern. Development of behaviour support plans that temporarily use restrictive practices, with intention to minimise use of these practices.",H,N,200.58,Y,Improved relationships,11
Behaviour Support,11_023_0110_7_3,Behaviour Management Plan Incl. Training In Behaviour Management Strategies,Training for carers and others in behaviour management strategies required due the participant’s disability.,H,N,182.74,Y,Improved relationships,11
Development Of Daily Living And Life Skills,11_024_0117_7_3,Individual Social Skills Development,"Social skills development with an individual, for participation in community and social activities.",H,N,57.32,Y,Improved relationships,11
Therapeutic Supports,12_025_0128_3_3,Dietician Consultation And Diet Plan Development,Individual advice to a participant on managing diet for health and well-being due to the impact of their disability.,H,N,182.74,Y,Improved health and wellbeing,12
Therapeutic Supports,12_026_0128_3_3,Dietician Group Session - Group of 3,Group based specialist dietary advice on managing diet for well-being due to the impact of their disability. This assumes a group of 3.,H,N,60.92,Y,Improved health and wellbeing,12
Exercise Physiology And Physical Wellbeing Activities (Physical Wellbeing),12_027_0126_3_3,Exercise Physiology,Individual advice to a participant regarding exercise required due to the impact of their disability.,H,N,148.69,Y,Improved health and wellbeing,12
Exercise Physiology And Physical Wellbeing Activities (Physical Wellbeing),12_028_0126_3_3,Exercise Physiology In A Group - Group of 3,"Advice to a participant regarding exercise required due to the impact of their disability, provided in group setting, assuming a group of 3.",H,N,49.56,Y,Improved health and wellbeing,12
Exercise Physiology And Physical Wellbeing Activities (Physical Wellbeing),12_029_0126_3_3,Personal Training,Personal training provided to a participant due to the impact of their disability.,H,N,55.72,Y,Improved health and wellbeing,12
Assist To Access/Maintain Employ/Ed (Assist Access/Maintain Employ),13_030_0102_4_3,Transition Through School And To Further Education,"Provision of skills training, advice, assistance with arrangements and orientation to assist a person with disability moving from school to further education.",H,N,58.92,Y,Improved learning,13
Management Of Funding For Supports In Participants Plan,14_031_0127_8_3,Plan And Financial Capacity Building,"Undertaking regular liaison with a participant to strengthening their ability to undertake tasks associated with the management of their supports. Providers of this support are to assist the participant with the overall management of the plan including assisting the participant to engage providers, develop service agreements, paying providers and claiming payment from the NDIA and assisting the participant to maintain records.",H,N,55.27,Y,Improved life choices ,14
Management Of Funding For Supports In Participants Plan,14_032_0127_8_3,Financial And Service Intermediary - Set Up Costs,The setting up of the financial and service management arrangements to assist with the managing of funding of supports.,EA,N,334.29,Y,Improved life choices ,14
Management Of Funding For Supports In Participants Plan,14_033_0127_8_3,Plan Management And Financial Capacity Building - Set Up Costs,A one-off (per plan) establishment fee for setting up of the financial management arrangements for managing of funding of supports.,EA,N,222.85,Y,Improved life choices ,14
Management Of Funding For Supports In Participants Plan,14_034_0127_8_3,Plan Management – Financial Administration ,A monthly fee for the ongoing maintenance of the financial management arrangements for managing of funding of supports.,MON,N,100.18,Y,Improved life choices ,14
"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",15_035_0106_1_3,"Assistance With Decision Making, Daily Planning and Budgeting","Provision of time limited support to assist a person to develop and maintain daily budget, including assisting in planning purchases.",H,N,45.36,Y,Improved daily living skills,15
Community Nursing Care For High Needs,15_036_0114_1_3,Individual Assessment And Support By A Nurse,"Provision of care, training and supervision of a delegated worker to respond to the complex care needs of a participant where that care is not the usual responsibility of the health system.",H,N,97.78,Y,Improved daily living skills,15
Development Of Daily Living And Life Skills,15_037_0117_1_3,Individual Skill Development And Training Including Public Transport Training,Individual training provided in the home for general life skills to increase independence.,H,N,45.36,Y,Improved daily living skills,15
Development Of Daily Living And Life Skills,15_038_0117_1_3,Training For Carers/Parents,Training for carers in matters related to caring for a person with disability.,H,N,57.32,Y,Improved daily living skills,15
Early Intervention Supports For Early Childhood,15_039_0118_1_3,Specialised Group Early Childhood Interventions - Max Group Of 4,"Group based specialist interventions to assist a child with disability or developmental delay and their family in home, care, community and education settings. Maximum group of 4.",H,N,60.92,Y,Improved daily living skills,15
Early Intervention Supports For Early Childhood,15_040_0118_1_3,Capacity Building Supports For Early Childhood,"Individual specialist interventions to assist a child with disability or developmental delay and their family in home, care, community and education settings.",H,N,182.74,Y,Improved daily living skills,15
Early Intervention Supports For Early Childhood,15_041_0118_1_3,Transdisciplinary Early Childhood Intervention,"A coordinated & integrated program where multiple professionals share responsibility in evaluating, planning & implementing supports to improve capacity of a child with disability or developmental delay & their family. Quote based on annual amount.",EA,Y,,N,Improved daily living skills,15
Therapeutic Supports,15_042_0128_1_3,Counselling Group - Group Of 3,"Facilitating self-knowledge, emotional acceptance and growth and the optimal development of personal resources through a group session. Assisting participants to gain their personal goals and gain greater insight into their lives. Group of 3.",H,N,50.98,Y,Improved daily living skills,15
Therapeutic Supports,15_043_0128_1_3,Individual Counselling,"Facilitating self-knowledge, emotional acceptance and growth and the optimal development of personal resources on a one to one basis. Assist participants to work towards their personal goals and gain greater insight into their lives.",H,N,152.95,Y,Improved daily living skills,15
Therapeutic Supports,15_044_0128_1_3,Group Therapy - Group Of 3,Provision of interventions by more than one professional in a group session towards the participants agreed goals. Group of 3.,H,N,59.76,Y,Improved daily living skills,15
Therapeutic Supports,15_045_0128_1_3,Community Engagement Assistance,"Program to empower participants and improve interactions between participants and their social networks. Assistance to engage effectively in the community through a group approach to help achieve goals, gain insight into their lives and make informed decisions.",H,N,42.59,Y,Improved daily living skills,15
Specialised Driver Training,15_046_0129_1_3,Specialised Driver Training,Driving lessons required due to the impact of a participant’s disability. This item should be in response to a driver trained specialist Occupational Therapist Assessment.,EA,Y,,N,Improved daily living skills,15
Customised Prosthetics,15_047_0135_1_3,Selection And/Or Manufacture Of Customised Or Wearable Technology,Selection and/or manufacturing of customised or wearable technology.,H,N,164.91,Y,Improved daily living skills,15
Therapeutic Supports,15_048_0128_1_3,"Individual Assessment, Therapy And/Or Training (Includes Assistive Technology)","Assessment, therapy, training, fitting and any approved travel to deliver support.",H,N,179.26,Y,Improved daily living skills,15
Therapeutic Supports,15_049_0128_1_3,Multidisciplinary Team,Multidisciplinary team,EA,N,,N,Improved daily living skills,15
Community Nursing Care For High Needs,15_051_0114_1_3,Community Nursing Care For Continence Aid,"Continence aids: assessment, recommendation, and training delivered by a nurse.",H,N,97.78,Y,Improved daily living skills,15
Therapeutic Supports,15_052_0128_1_3,Therapy Assistants (Level 1),Support role for an allied health assistant working under the supervision of a therapist.,H,N,46.5,Y,Improved daily living skills,15
